연번,시도교육청명,행정표준코드,학교명,학교종류명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명
11,서울특별시교육청,7121341,강북중학교,중학교,공립,1051,서울특별시 강북구 한천로150길 67,(수유동/ 강북중학교),02-999-4104,http://www.kangbuk.ms.kr/,남여공학,02-993-3465,  
12,서울특별시교육청,7130268,강빛중학교,중학교,공립,5201,서울특별시 강동구 아리수로93다길 1,"(강일동, 강빛초중통합학교)",02-6951-3964,http://gbm.sen.ms.kr,남여공학,02-6951-3966,
13,서울특별시교육청,7010118,강서고등학교,고등학교,사립,7958,서울특별시 양천구 목동중앙남로 27,/ 강서고등학교 (목동),02-2642-0725,http://gangseo.sen.hs.kr,남,02-2651-3046,일반고
14,서울특별시교육청,7081484,강신중학교,중학교,공립,8047,서울특별시 양천구 남부순환로 604,(신월동/강신중학교),02-2694-9623,http://kangsin.sen.ms.kr,남여공학,02-2699-3253,  
15,서울특별시교육청,7010958,강일고등학교,고등학교,공립,5213,서울특별시 강동구 아리수로98길 40,(강일동),02-428-6200,http://www.gang-il.hs.kr,남여공학,02-428-6810,일반고
16,서울특별시교육청,7130169,강일중학교,중학교,공립,5236,서울특별시 강동구 고덕로27길 12,(암사동414-17),02-441-4651,http://www.kangil.ms.kr,남여공학,02-441-4677,
17,서울특별시교육청,7132124,강현중학교,중학교,공립,6953,서울특별시 동작구 상도로13라길 22,/ 강현중학교 (상도동),02-815-3939,http://sganghyeon.sen.ms.kr,남여공학,02-817-9162,  
18,서울특별시교육청,7041165,개봉중학교,중학교,공립,8250,서울특별시 구로구 고척로21나길 68,(개봉동),02-3660-2400,http://gaebong.sen.ms.kr,남여공학,02-2688-9514,
19,서울특별시교육청,7121342,개운중학교,중학교,공립,2808,서울특별시 성북구 북악산로 935,(돈암동/개운중학교),02-3291-5492,http://www.gw.ms.kr,남여공학,02-3291-5495,  
20,서울특별시교육청,7041166,개웅중학교,중학교,공립,8351,서울특별시 구로구 개봉로11길 81,/ 개웅중학교 (개봉동/개웅중학교),02-2613-3342,http://www.kaewoong.ms.kr,남여공학,02-2616-7618,  
21,서울특별시교육청,7091420,개원중학교,중학교,공립,6328,서울특별시 강남구 영동대로 101,/ 개원중학교 (개포동/개원중학교),02-3411-8321,http://gaewon.sen.ms.kr,남여공학,02-3411-8329,
22,서울특별시교육청,7010058,개포고등학교,고등학교,공립,6324,서울특별시 강남구 개포로 402,(개포동/ 개포고등학교),02-576-3333,http://www.gaepo.hs.kr,남여공학,02-571-6560,일반고
23,서울특별시교육청,7091421,개포중학교,중학교,공립,6321,서울특별시 강남구 선릉로 9,(개포동/개포중학교),02-571-1361,http://www.gaepo.ms.kr,남여공학,02-578-3823,
24,서울특별시교육청,7130170,거원중학교,중학교,공립,5789,서울특별시 송파구 양산로2길 30,(거여동/거원중학교),02-405-4205,http://www.geowon.ms.kr,남여공학,02-405-4204,
25,서울특별시교육청,7010119,건국대학교사범대학부속고등학교,고등학교,사립,5029,서울특별시 광진구 능동로 120,/ 건국대학교사범대학부속고등학교 (화양동),070-7012-3500,http://konkuk.sen.hs.kr,남여공학,02-456-0646,일반고
26,서울특별시교육청,7134119,건국대학교사범대학부속중학교,중학교,사립,5025,서울특별시 광진구 자양로 145-1,건국대학교사범대학부속중학교,02-457-0318,http://konkuk.sen.ms.kr,남여공학,02-458-7427,
27,서울특별시교육청,7010059,경기고등학교,고등학교,공립,6086,서울특별시 강남구 영동대로 643,/ 경기고등학교 (삼성동),02-3496-7300,http://kyunggi.hs.kr/,남,02-3496-7497,일반고
28,서울특별시교육청,7010271,경기기계공업고등학교,고등학교,공립,1810,서울특별시 노원구 공릉로 264,(하계동),02-2289-1600,http://www.ggmt.hs.kr,남여공학,02-978-4327,특성화고
29,서울특별시교육청,0,경기기계공업고등학교부설미래기술교육센터,공동실습소,공립,1810,서울특별시 노원구 공릉로 264,(하계동/ 경기기계공업고등학교),02-970-8922,http://www.ggmt.hs.kr,남여공학,02-978-4327,  
30,서울특별시교육청,7010272,경기상업고등학교,고등학교,공립,3047,서울특별시 종로구 자하문로 136,(청운동),02-737-6490,http://ggc.sen.hs.kr,남여공학,02-722-0504,특성화고
31,서울특별시교육청,7010060,경기여자고등학교,고등학교,공립,6324,서울특별시 강남구 삼성로 29,/ 경기여자고등학교 (개포동),02-573-6797,http://www.kgg.hs.kr,여,02-575-1157,일반고
32,서울특별시교육청,7010385,경기여자고등학교부설방송통신고등학교,방송통신고등학교,공립,6324,서울특별시 강남구 삼성로 29,(개포동/경기여자고등학교),02-573-6796,http://www.kgg.hs.kr,여,02-575-1157,일반고
33,서울특별시교육청,7031110,경기초등학교,초등학교,사립,3746,서울특별시 서대문구 경기대로9길 10,(충정로2가/경기초등학교),02-363-2908,http://www.kyonggicho.es.kr,남여공학,02-3146-9581,  
34,서울특별시교육청,7010061,경동고등학교,고등학교,공립,2870,서울특별시 성북구 보문로29길 49,(삼선동3가/ 경동고등학교),02-928-2353,www.kyungdong.hs.kr,남,02-926-7525,자율고
35,서울특별시교육청,7010386,경동고등학교부설방송통신고등학교,방송통신고등학교,공립,2870,서울특별시 성북구 보문로29길 49,(삼선동3가/ 경동고등학교),02-928-2077,http://kyungdong.cyber.hs.kr,남여공학,02-926-7525,일반고
36,서울특별시교육청,7010120,경문고등학교,고등학교,사립,6995,서울특별시 동작구 동작대로 171,/ 경문고등학교 (동작동),02-535-1301,http://kyungmoon.sen.hs.kr,남,02-535-1230,일반고
37,서울특별시교육청,7010062,경복고등학교,고등학교,공립,3047,서울특별시 종로구 자하문로28가길 9,/ 경복고등학교 (청운동/경복고등학교),02-397-5301,http://kyungbock.sen.hs.kr,남,02-736-0422,일반고
38,서울특별시교육청,7010387,경복고등학교부설방송통신고등학교,방송통신고등학교,공립,3047,서울특별시 종로구 자하문로28가길 9,(청운동),02-397-5470,http://www.cyber.hs.kr/user/index.do,남여공학,02-736-0422,일반고
39,서울특별시교육청,7010835,경복비즈니스고등학교,고등학교,사립,7589,서울특별시 강서구 화곡로 379,(등촌동),02-3661-3425,http://kbb.sen.hs.kr,남여공학,02-3661-8372,특성화고
40,서울특별시교육청,7010122,경복여자고등학교,고등학교,사립,7589,서울특별시 강서구 화곡로63길 40,/ 경복여자고등학교 (등촌동),02-3661-1741,http://www.kb.hs.kr,여,02-3661-3795,일반고
41,서울특별시교육청,7134077,경복초등학교,초등학교,사립,4991,서울특별시 광진구 천호대로130길 58,/ 경복초등학교 (능동),02-2204-1200,http://www.kbes.kr,남여공학,02-454-5086,
42,서울특별시교육청,7081485,경서중학교,중학교,공립,7533,서울특별시 강서구 양천로59길 31,(가양동),02-2668-0304,http://gyeongseo.sen.ms.kr,남여공학,02-2668-6816,  
43,서울특별시교육청,7010124,경성고등학교,고등학교,사립,3977,서울특별시 마포구 성미산로 111,/ 경성고등학교 (연남동),02-3140-1168,http://www.gyeongseong.hs.kr,남,02-334-7533,일반고
44,서울특별시교육청,7031179,경성중학교,중학교,사립,3977,서울특별시 마포구 성미산로 111,/ 경성중학교 (연남동/경성중고등학교),02-3140-1114,http://www.gyeongseong.ms.kr,남,02-334-7533,  
45,서울특별시교육청,7134120,경수중학교,중학교,공립,4785,서울특별시 성동구 뚝섬로13길 14,(성수동2가),02-464-0675,http://www.gsu.ms.kr,남여공학,02-497-0296,
46,서울특별시교육청,7010125,경신고등학교,고등학교,사립,3067,서울특별시 종로구 혜화로 74,(혜화동/경신중고등학교),02-762-0393,http://kyungshin.hs.kr,남,02-762-0387,일반고
47,서울특별시교육청,7061094,경신중학교,중학교,사립,3067,서울특별시 종로구 혜화로 74,(혜화동/경신중고등학교),02-762-0313,https://ksms.sen.ms.kr,남,02-763-6034,
48,서울특별시교육청,7091422,경원중학교,중학교,공립,6521,서울특별시 서초구 신반포로33길 39,(잠원동/경원중학교),02-593-6578,http://gyeongwon.sen.ms.kr,남여공학,02-599-0418,  
49,서울특별시교육청,7010563,경인고등학교,고등학교,공립,8275,서울특별시 구로구 경인로46길 31,/ 경인고등학교 (고척동),02-2618-3043,http://kyeongin.sen.hs.kr,남여공학,02-2618-3093,일반고
50,서울특별시교육청,7041167,경인중학교,중학교,공립,8238,서울특별시 구로구 경인로 301,(개봉동),02-2612-3471,kyeongin.sen.ms.kr,남여공학,02-2616-0649,
51,서울특별시교육청,7010698,경일고등학교,고등학교,공립,4779,서울특별시 성동구 성수일로 27,/ 경일고등학교 (성수동1가),02-463-3520,http://kyungil.sen.hs.kr,남여공학,02-463-4072,자율고
52,서울특별시교육청,7134121,경일중학교,중학교,공립,4779,서울특별시 성동구 성수일로 27,(성수동1가),02-468-0651,http://kyungil.ms.kr,남여공학,02-468-2766,
53,서울특별시교육청,7010126,경희고등학교,고등학교,사립,2447,서울특별시 동대문구 경희대로 26,(회기동/ 경희고등학교),02-966-3782,http://www.kyungheeboy.hs.kr/,남,02-962-3643,자율고
54,서울특별시교육청,7010127,경희여자고등학교,고등학교,사립,2447,서울특별시 동대문구 경희대로 26,경희여자고등학교,02-966-4560,http://kyunghee.sen.hs.kr,여,02-967-2429,일반고
55,서울특별시교육청,7021122,경희여자중학교,중학교,사립,2447,서울특별시 동대문구 경희대로 26,(회기동),02-2250-8888,http://kyungheegls.sen.ms.kr,여,02-965-5998,  
56,서울특별시교육청,7021123,경희중학교,중학교,사립,2447,서울특별시 동대문구 경희대로 26,/ 경희중학교 (회기동),02-966-6402,http://www.kyunghee.ms.kr,남,02-962-3644,
57,서울특별시교육청,7021079,경희초등학교,초등학교,사립,2447,서울특별시 동대문구 경희대로 26,/ 경희초등학교 (회기동/ 경희대학교),02-962-4300,http://www.kyunghee.es.kr,남여공학,02-967-2498,
58,서울특별시교육청,7011312,계성고등학교,고등학교,사립,2720,서울특별시 성북구 길음로 63,/ 계성고등학교 (길음동),02-728-6100,gyeseong.sen.hs.kr,남여공학,02-776-7086,일반고
59,서울특별시교육청,7091368,계성초등학교,초등학교,사립,6504,서울특별시 서초구 신반포로19길 23,/ 계성초등학교 (반포동),02-590-5500,http://www.gyeseong1882.es.kr,남여공학,02-590-5555,
60,서울특별시교육청,7130171,고덕중학교,중학교,공립,5225,서울특별시 강동구 동남로82길 94,(고덕동),02-2045-6000,http://www.godeok.ms.kr,남여공학,02-2045-6097,  
61,서울특별시교육청,7010797,고려대학교사범대학부속고등학교,고등학교,사립,2708,서울특별시 성북구 정릉로 161,/ 고려대학교사범대학부속고등학교 (정릉동),02-914-7483,https://koreahi.sen.hs.kr,남,02-942-0732,일반고
62,서울특별시교육청,7121358,고려대학교사범대학부속중학교,중학교,사립,2708,서울특별시 성북구 정릉로 161,(정릉동/고려대학교사범대학부속중학교),02-914-8853,http://www.koryo.ms.kr,남여공학,02-942-5626,  
63,서울특별시교육청,7011487,고명외식고등학교,고등학교,사립,2828,서울특별시 성북구 북악산로 870,(돈암동),02-928-8366,http://komyung.sen.hs.kr,남여공학,02-924-6059,특성화고
64,서울특별시교육청,7121359,고명중학교,중학교,사립,2828,서울특별시 성북구 북악산로 870,(돈암동/고명중학교),02-926-2837,http://komyung.sen.ms.kr,남,02-921-8443,
65,서울특별시교육청,7010063,고척고등학교,고등학교,공립,8239,서울특별시 구로구 중앙로15길 162,/ 고척고등학교 (고척동/ 고척고등학교),02-2616-9813,http://gocheok.sen.hs.kr,남여공학,02-2615-7802,자율고
66,서울특별시교육청,7041168,고척중학교,중학교,공립,8225,서울특별시 구로구 중앙로3길 20,/ 고척중학교 (고척동),02-6917-7101,http://www.gocheok.ms.kr,남여공학,02-2615-9386,
67,서울특별시교육청,7051174,공릉중학교,중학교,공립,1823,서울특별시 노원구 노원로1길 42,(공릉동/공릉중학교),02-971-5212,http://kongrung.sen.ms.kr,남여공학,02-948-2717,  
68,서울특별시교육청,7010064,공항고등학교,고등학교,공립,7597,서울특별시 강서구 방화대로34길 43,(마곡동/ 공항고등학교),02-2664-6874,http://www.konghang.hs.kr,남여공학,02-6309-3919,일반고
69,서울특별시교육청,7081487,공항중학교,중학교,공립,7618,서울특별시 강서구 방화대로 241,(공항동/공항중학교),02-2662-0471,http://gonghang.ms.kr,남여공학,02-2667-0739,  
70,서울특별시교육청,7010065,관악고등학교,고등학교,공립,7278,서울특별시 영등포구 영등포로6길 26,(양평동2가),02-2633-5954,http://kwan-ak.hs.kr,남여공학,02-2632-9358,일반고
71,서울특별시교육청,7132125,관악중학교,중학교,공립,8741,서울특별시 관악구 남부순환로237길 60,/ 관악중학교 (봉천동),02-889-1782,http://www.gwanak.ms.kr,남여공학,02-872-6335,
72,서울특별시교육청,7010066,광남고등학교,고등학교,공립,4973,서울특별시 광진구 아차산로70길 17-16,/ 광남고등학교 (광장동/ 광남고등학교),02-2204-8705,http://www.gwang-nam.hs.kr,남여공학,02-458-7043,일반고
73,서울특별시교육청,7134122,광남중학교,중학교,공립,4973,서울특별시 광진구 아차산로70길 17-62,/ 광남중학교 (광장동),02-456-8792,http://www.gwangnam.ms.kr,남여공학,02-455-0161/453-2818,
74,서울특별시교육청,7010131,광문고등학교,고등학교,사립,5225,서울특별시 강동구 동남로 968,/ 광문고등학교 (고덕동),02-427-2870,http://gwangmun.sen.hs.kr,남여공학,02-427-4357,일반고
75,서울특별시교육청,7010132,광성고등학교,고등학교,사립,4097,서울특별시 마포구 신수로8길 20,(신수동),02-703-3457,http://kwangsung.sen.hs.kr,남,02-711-7397,일반고
76,서울특별시교육청,7031180,광성중학교,중학교,사립,4097,서울 마포구 신수로8길 20,(신수동/광성중고등학교),02-703-3456,http://www.kwangsung.ms.kr,남,02-3273-5120,  
77,서울특별시교육청,7010523,광성하늘빛학교,특수학교,사립,5511,서울특별시 송파구 올림픽로 625,/ 광성하늘빛학교 (풍납동/광성교회),02-474-1004,www.hanulbit.sc.kr/,남여공학,02-474-3434,
78,서울특별시교육청,7010133,광신고등학교,고등학교,사립,8847,서울특별시 관악구 광신길 141,(신림동/광신중고등학교),02-881-8532,http://www.kwangshin.hs.kr,남여공학,02-881-8566,일반고
79,서울특별시교육청,7011488,광신방송예술고등학교,고등학교,사립,8847,서울특별시 관악구 광신길 141,(신림동/ 광신방송예술고등학교),02-881-8612,http://ksmedia.sen.hs.kr,남여공학,02-881-8637,특성화고
80,서울특별시교육청,7132126,광신중학교,중학교,사립,8847,서울특별시 관악구 광신길 141,/ 광신중학교 (신림동),02-881-8652,http://www.kwangshin.ms.kr,남여공학,02-887-3075,
81,서울특별시교육청,7010067,광양고등학교,고등학교,공립,5104,서울특별시 광진구 자양로3가길 31,(자양동),02-446-1435,http://www.gwangyang.hs.kr,남여공학,02-458-9715,자율고
82,서울특별시교육청,7134123,광양중학교,중학교,공립,5104,서울특별시 광진구 자양로3길 7,(자양동),02-452-6922,http://kwangyang.sen.ms.kr,남여공학,02-452-6923,
83,서울특별시교육청,7010134,광영고등학교,고등학교,사립,7909,서울특별시 양천구 남부순환로30길 17,(신월동/광영고등학교),02-2650-2300,http://www.ky.hs.kr,남,02-2697-1002,일반고
84,서울특별시교육청,7010135,광영여자고등학교,고등학교,사립,7909,서울특별시 양천구 남부순환로30길 17,/ 광영여자고등학교 (신월동),02-2697-5553,http://www.kyg.hs.kr,여,02-2697-5552,일반고
85,서울특별시교육청,7011505,광운인공지능고등학교,고등학교,사립,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교/전자공업고등학교),02-918-7761,http://kwangwoon.sen.hs.kr,남여공학,02-917-5091,특성화고
86,서울특별시교육청,7051175,광운중학교,중학교,사립,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교),02-942-2293,http://www.kwangwoon.ms.kr,남,02-942-2373,  
87,서울특별시교육청,7121335,광운초등학교,초등학교,사립,2763,서울특별시 성북구 한천로 694,/ 광운초등학교 (장위동/ 광운초등학교),02-915-7312,http://kwangwoon.sen.es.kr,남여공학,02-915-7515,  
88,서울특별시교육청,7134124,광장중학교,중학교,공립,4966,서울특별시 광진구 광장로1길 1,/ 광장중학교 (광장동),02-452-0745,http://www.gwangjang.ms.kr,남여공학,02-444-5692,
89,서울특별시교육청,7134125,광진중학교,중학교,공립,5114,서울특별시 광진구 뚝섬로64길 45,(자양동/광진중학교),02-447-2886,http://gwangjin.ms.kr,남여공학,02-3436-1508,
90,서울특별시교육청,7134126,광희중학교,중학교,공립,4742,서울특별시 성동구 독서당로62길 46,/ 광희중학교 (응봉동),02-2298-0250,http://www.kwanghee.ms.kr,남여공학,02-2298-0252,
91,서울특별시교육청,7010575,교남학교,특수학교,사립,7662,서울특별시 강서구 까치산로22길 38,/ 교남학교 (화곡동),02-2607-2456,http://kyonam.sc.kr,남여공학,02-2601-8746,
92,서울특별시교육청,7010068,구로고등학교,고등학교,공립,8299,서울특별시 구로구 가마산로27길 45,/ 구로고등학교 (구로동),02-851-2065,http://guro.hs.kr,남여공학,02-851-9826,일반고
93,서울특별시교육청,7041169,구로중학교,중학교,공립,8303,서울특별시 구로구 구로중앙로 48,(구로동),02-864-4233,http://www.guro.ms.kr,남여공학,02-851-9604,  
94,서울특별시교육청,7091423,구룡중학교,중학교,공립,6318,서울특별시 강남구 선릉로 103,"(개포동,구룡중학교)",02-577-3708,http://gury.sen.ms.kr/,남여공학,02-577-3704,  
95,서울특별시교육청,7031181,구산중학교,중학교,공립,3429,서울특별시 은평구 갈현로15길 20-23,(구산동/구산중학교),02-389-8785,http://gusanjung.ms.kr,남여공학,02-385-3098,
96,서울특별시교육청,7011111,구암고등학교,고등학교,공립,8723,서울특별시 관악구 성현로 57,(봉천동/구암고등학교),02-879-9823,http://www.guahm.hs.kr,남여공학,02-879-1981,일반고
97,서울특별시교육청,7132127,구암중학교,중학교,공립,8723,서울특별시 관악구 성현로 53,(봉천동),02-881-2900,http://www.guahm.ms.kr/,남여공학,02-885-6757,
98,서울특별시교육청,7134127,구의중학교,중학교,공립,5022,서울특별시 광진구 광나루로30길 80,(화양동),02-447-4798,http://www.guui.ms.kr,남여공학,02-455-5061,  
99,서울특별시교육청,7010069,구일고등학교,고등학교,공립,8324,서울특별시 구로구 구일로 90-51,(구로동),02-858-2549,http://www.guil.hs.kr,남여공학,02-867-2826,일반고
100,서울특별시교육청,7041170,구일중학교,중학교,공립,8324,서울특별시 구로구 구일로 90-133,(구로동),02-2107-9104,http://kuil.ms.kr,남여공학,02-837-1898,
101,서울특별시교육청,7010827,구현고등학교,고등학교,공립,8217,서울특별시 구로구 경인로53가길 17,(구로동),02-2628-8916,http://www.guhyun.hs.kr,남여공학,02-2628-8915,자율고
102,서울특별시교육청,1371661,국립국악고등학교,고등학교,국립,6311,서울특별시 강남구 개포로22길 65,(개포동/ 국악고등학교),02-3460-0500,http://gugak.sen.hs.kr,남여공학,02-3460-0555,특목고
103,서울특별시교육청,1371662,국립국악중학교,각종학교(중),국립,6311,서울특별시 강남구 개포로22길 65,/ 국립국악중고등학교 (개포동),02-3460-0500,http://gugak.sen.ms.kr,남여공학,02-579-6013,
104,서울특별시교육청,1371663,국립전통예술고등학교,고등학교,국립,8650,서울특별시 금천구 시흥대로38길 62,(시흥동),02-896-1094,http://kugak-am.hs.kr,남여공학,02-896-1096,특목고
105,서울특별시교육청,1371664,국립전통예술중학교,각종학교(중),국립,8650,서울특별시 금천구 시흥대로38길 62,(시흥동),02-896-1094,http://kugak-am.ms.kr,남여공학,02-896-2044,
106,서울특별시교육청,7132128,국사봉중학교,중학교,공립,7038,서울특별시 동작구 양녕로20길 20,/ 국사봉중학교 (상도동),02-823-8715,http://www.kuksabong.ms.kr,남여공학,02-823-7531,  
107,서울특별시교육청,7021080,금성초등학교,초등학교,사립,2028,서울특별시 중랑구 신내로21길 55,/ 금성초등학교 (신내동),02-3421-0500,http://www.kumsung.net,남여공학,02-3421-2700,  
108,서울특별시교육청,7010071,금옥여자고등학교,고등학교,공립,8080,서울특별시 양천구 신정로 213,(신정동),02-2086-7502,http://www.geumok.hs.kr,여,02-2086-7575,일반고
109,서울특별시교육청,7081488,금옥중학교,중학교,공립,8080,서울특별시 양천구 신정로 213,/ 금옥중학교 (신정동),02-2696-1202,geumok.sen.ms.kr,남여공학,02-2698-1339,
110,서울특별시교육청,7010072,금천고등학교,고등학교,공립,8650,서울특별시 금천구 시흥대로38길 26,(시흥동/금천고등학교),02-896-3181,http://Geumcheon.sen.hs.kr,남여공학,02-808-3186,일반고
111,서울특별시교육청,7011317,금천문화예술정보학교,각종학교(고),공립,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),02-2039-9910,http://geumcheon.sc.kr/,남여공학,02-2039-9872,일반고
112,서울특별시교육청,7011319,금호고등학교,고등학교,공립,4727,서울특별시 성동구 금호로 118,(금호동1가),02-2022-0800,http://geumho.sen.hs.kr,남여공학,02-2022-0840,일반고
113,서울특별시교육청,7061095,금호여자중학교,중학교,공립,4587,서울특별시 중구 청구로 6,", 금호여자중학교 본관동(주1) (신당동)",070-4050-5660,http://kumho.sen.ms.kr,여,070-4050-5645,
114,서울특별시교육청,7121357,길음중학교,중학교,공립,2723,서울특별시 성북구 길음로 144 ,/ 길음중학교 (길음동),02-910-8770,http://www.gireum.ms.kr,남여공학,02-910-8769,
115,서울특별시교육청,7011096,꿈타래학교,각종학교(고),공립,15188,서울특별시 관악구 신림로 67,(신림동/서울산업정보학교),070-6331-1972,http://www.dreamkey.sen.sc.kr/,남여공학,02-874-0847,특성화고
116,서울특별시교육청,7041171,난곡중학교,중학교,공립,8549,서울특별시 금천구 문성로 67,(독산동),02-2283-5200,http://nangok.sen.ms.kr,남여공학,02-859-2141,
117,서울특별시교육청,7132129,난우중학교,중학교,공립,8857,서울특별시 관악구 난곡로16길 32,/ 난우중학교 (신림동),02-864-4017,http://www.nanwoo.ms.kr,남여공학,02-867-6253,  
118,서울특별시교육청,7010136,남강고등학교,고등학교,사립,8854,서울특별시 관악구 난곡로34길 80,(신림동),02-839-1701,http://www.namkang.hs.kr,남,02-839-1707,일반고
119,서울특별시교육청,7132130,남강중학교,중학교,사립,8854,서울특별시 관악구 난곡로34길 80,(신림동/남강중고등학교),02-839-1709,http://www.namkang.ms.kr,남,02-839-1712,
120,서울특별시교육청,7121360,남대문중학교,중학교,사립,2763,서울특별시 성북구 한천로 660-30,(장위동/ 남대문중학교),02-942-3184,http://namdaemoon.sen.ms.kr,남,02-942-3185,
121,서울특별시교육청,7132131,남서울중학교,중학교,공립,8773,서울특별시 관악구 남부순환로172길 97,/ 남서울중학교 (신림동),02-855-9832,http://namseoul.sen.ms.kr,남여공학,02-851-0637,
122,서울특별시교육청,7132132,남성중학교,중학교,공립,7022,서울특별시 동작구 남부순환로269길 166,(사당동/남성중학교),02-520-7500,http://www.namsung.ms.kr,남여공학,02-520-7589,
123,서울특별시교육청,7091486,내곡중학교,중학교,공립,6799,서울특별시 서초구 청계산로7길 9-20,(신원동),02-571-9532,https://naegok.sen.ms.kr,남여공학,02-571-9533,
124,서울특별시교육청,7051176,노곡중학교,중학교,공립,1419,서울특별시 도봉구 노해로70길 95,(창동/노곡중학교),02-996-5232,http://www.nogok.ms.kr,남여공학,02-996-5260,  
125,서울특별시교육청,7010564,노원고등학교,고등학교,공립,1675,서울특별시 노원구 노원로 586,(상계동),02-937-0079,http://nowon.sen.hs.kr,남여공학,02-951-4607,일반고
126,서울특별시교육청,7051177,노원중학교,중학교,공립,1764,서울특별시 노원구 동일로213길 26,(상계동/노원중학교),02-3391-6921,http://nowon.sen.ms.kr,남여공학,02-934-9953,
127,서울특별시교육청,7051178,노일중학교,중학교,공립,1613,서울특별시 노원구 동일로231길 24,/ 노일중학교 (상계동),02-3391-0092,http://noil.sen.ms.kr,남여공학,02-938-9951,
128,서울특별시교육청,7051179,녹천중학교,중학교,공립,1905,서울특별시 노원구 월계로 376,(월계동),02-978-4592,http://www.nokcheon.ms.kr,남여공학,02-978-4594,  
129,서울특별시교육청,7011302,누리학교,특수학교,사립,6954,서울특별시 동작구 상도로 53,/ 누리학교 (대방동),02-824-3888,http://nuri.sen.sc.kr,남여공학,02-813-8308,
130,서울특별시교육청,7010589,누원고등학교,고등학교,공립,1318,서울특별시 도봉구 마들로 849,/ 누원고등학교 (도봉동),02-3492-7595,http://www.noowon.hs.kr,남여공학,02-3492-7598,일반고
131,서울특별시교육청,7010459,다니엘학교,특수학교,사립,6796,서울특별시 서초구 헌릉로468길 21-16,(내곡동/다니엘학교),02-445-9435,daniel.sen.sc.kr,남여공학,02-445-9439,
132,서울특별시교육청,7011489,단국대학교부속소프트웨어고등학교,고등학교,사립,6278,서울특별시 강남구 도곡로64길 21,(대치동 1013),02-2116-0115,http://dankook.sen.hs.kr,남,02-2116-0176,특성화고
133,서울특별시교육청,7010137,단국대학교사범대학부속고등학교,고등학교,사립,6278,서울특별시 강남구 도곡로64길 21,(대치동),02-2191-2600,http://www.dan-kook.hs.kr,남,02-557-6837,일반고
134,서울특별시교육청,7091449,단국대학교사범대학부속중학교,중학교,사립,6278,서울특별시 강남구 도곡로64길 21,(대치동),02-2191-2600,http://www.dankook.ms.kr/,남,02-557-6837,
135,서울특별시교육청,7010073,당곡고등학교,고등학교,공립,8712,서울특별시 관악구 봉천로21길 108,/ 당곡고등학교 (봉천동),02-6717-5200,http://www.danggok.hs.kr,남여공학,02-873-4617,자율고
136,서울특별시교육청,7132133,당곡중학교,중학교,공립,8711,서울특별시 관악구 봉천로13길 101,/ 당곡중학교 (봉천동),02-870-7700,http://www.danggok.ms.kr,남여공학,02-871-9146,
